name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-49,YES,0,24170,25102,20664,158,137,153
GENE-107,YES,0,109,91,107,55,48,51
GENE-211,YES,0,12,13,15,17,11,14
GENE-233,YES,0,12,15,26,96,80,101
GENE-333,YES,0,7,14,9,33,25,31
GENE-384,YES,0,27,43,27,46,56,63
GENE-411,YES,0,922,821,853,1366,1419,1652
GENE-432,YES,0,25,30,39,49,64,43
GENE-462,YES,0,330,222,263,955,879,713
GENE-489,YES,0,98,105,137,36,19,28
GENE-497,YES,0,102,53,71,7,17,12
GENE-550,YES,0,60,56,52,74,83,74
GENE-574,YES,0,116,128,128,28,26,35
GENE-616,YES,0,113,117,112,335,304,341
GENE-624,YES,0,5,13,13,126,88,161
GENE-760,YES,0,29,32,53,12,9,8
GENE-823,YES,0,98,62,88,407,439,636
GENE-841,YES,0,157,152,156,94,92,102
GENE-856,YES,0,120,82,94,105,97,93
GENE-932,YES,0,558,436,307,8475,8279,9731
GENE-942,YES,0,682,878,671,123,128,103
GENE-980,YES,0,35,47,39,1932,1208,1041
GENE-1001,YES,0,23,20,20,6,1,0
GENE-1092,YES,0,274,364,319,541,571,455
GENE-1123,YES,0,30973,18324,67009,343,1445,3
GENE-1154,YES,0,478,599,457,722,590,850
GENE-1167,YES,0,1065,1230,1286,3367,2711,3715
GENE-1199,YES,0,111,73,102,106,77,90
GENE-1280,YES,0,57,64,86,1829,1570,1002
GENE-1489,YES,0,498,274,343,234,203,194
GENE-1498,YES,0,125,60,53,13,11,20
GENE-1601,YES,0,40,52,41,481,610,666
GENE-1639,YES,0,57,49,42,87,69,63
GENE-1737,YES,0,31,12,27,13,17,26
GENE-1759,YES,0,119,157,118,1347,1990,2064
GENE-1762,YES,0,379,340,379,1307,1406,1037
GENE-1764,YES,0,20,24,24,139,161,130
GENE-1777,YES,0,19,32,11,38,49,17
GENE-1833,YES,0,690,719,606,257,279,292
GENE-1858,YES,0,626,701,648,546,851,664
GENE-1902,YES,0,1328,1417,1200,254,267,291
GENE-2068,YES,0,798,761,963,4539,4976,5090
GENE-2101,YES,0,45,47,38,21,28,24
GENE-2122,YES,0,15,11,10,10,9,12
GENE-2126,YES,0,160,122,125,36,37,48
GENE-2133,YES,0,275,317,182,342,486,263
GENE-2143,YES,0,559,915,899,436,591,450
GENE-2184,YES,0,251,270,193,1050,1060,1067
